NSID	W9ACTID	W9DACTIVITY4	W9CLJYEND	W9CLENDMO	economic_activity_end_year	W9CLSEMPCHK	W9CLACTIVITY2	W9CLPAIDWK	W9STUDYHRS	W9USUAL	W9CLSICKDIS	W9CLOTHACT10A	W9CLOTHACT10B	W9CLOTHACT10C	W9CLOTHACT10D	W9CLOTHACT10E	W9CLOTHACT10F	W9CLOTHACT10G	W9CLOTHACT10H	W9CLOTHACT10I	W9CLOTHACT10J	W9CLOTHACT10K	W9CLOTHACT10L	W9CLOTHACT10M	W9CLOTHACT10N	W9CLOTHACT10O	W9CLOTHACT10P	W9DACTIVITY3	W9CJWRKHRS	W9CHANHRS0A	W9CHANHRS0B	W9CHANHRS0C	W9CHANHRS0D	W9CHANHRS0E	W9CHANHRS0F	W9CHANHRS0G	W9CHANHRS0H	W9CHANHRS0I	W9CHANHRS0J	W9CHANHRS0K	W9CHANHRS0L	W9CHANHRS0M	W9CHANHRS0N	W9CHANHRS0O	W9CHANHRS0P	W9CHANHRS0Q	W9CHANHRS0R	W9CHANHRS0S	W9CHANHRS0T	W9CHANHRS0U	W9CHANHRS0V	W9CHANHRS0W	W9CLCURACT	W9CLCURACTST	W9LASTLOOP
NS10578Y	2	1	1	4	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS10614D	3	1	15	6	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS10019W	8	1	5	9	2015	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS10614D	2	1	9	1	2018	-1	10	1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5
NS10580J	5	1	9	10	2011	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS10962F	2	1	9	8	2014	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	8
NS10775Z	3	1	27	3	2022	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS10961E	1	1	9	3	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	2
NS10427X	3	1	9	3	2021	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1
NS10399J	1	1	15	9	2021	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	10
